#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-12T12:56:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-12T12:56:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=V%2f50%2fcatalog&-out.max=unlimited&-out=HR%2cName%2cHD%2cVmag%2cB-V&-out.add=_RAJ2000%2c_DEJ2000&-oc.form=dec	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000	_DEJ2000	HR	Name	HD	Vmag	B-V
081.713750	+33.262778	1796	          	 35521	 6.15	 1.15
080.912500	-37.336667	1797	          	 35528	 6.82	 1.04
081.523750	+16.700278	1798	113    Tau	 35532	 6.25	-0.08
081.256667	-10.329167	1799	          	 35536	 5.61	 1.56
081.380000	 -0.544167	1800	          	 35548	 6.57	-0.05
080.592083	-56.134444	1801	   Kap Pic	 35580	 6.11	-0.10
082.542500	+63.067222	1802	 17    Cam	 35583	 5.42	 1.71
081.445833	 +0.520833	1803	          	 35588	 6.16	-0.18
081.784583	+30.208611	1804	          	 35600	 5.74	 0.16
081.912083	+34.475833	1805	 24Phi Aur	 35620	 5.07	 1.40
081.510000	 -5.518333	1806	          	 35640	 6.23	-0.06
081.661667	 +6.869167	1807	          	 35656	 6.42	-0.02
081.792083	+17.962222	1808	115    Tau	 35671	 5.42	-0.10
081.807500	+15.257778	1809	          	 35693	 6.16	 0.08
081.908750	+21.936944	1810	114    Tau	 35708	 4.88	-0.15
081.709167	 +3.095556	1811	 30Psi2Ori	 35715	 4.59	-0.21
081.499167	-19.695556	1812	          	 35736	 5.89	 0.40
081.231667	-44.225833	1813	          	 35765	 6.08	 1.20
081.940000	+15.874167	1814	116    Tau	 35770	 5.50	 0.01
078.107083	-81.541667	1815	          	 35798	 6.51	 1.11
082.006667	+17.238889	1816	117    Tau	 35802	 5.77	 1.63
081.770000	-11.900833	1817	          	 35850	 6.35	 0.51
081.192500	-52.316389	1818	   The Pic	 35860	 6.27	 0.07
082.145000	+13.678889	1819	          	 35909	 6.35	 0.15
082.006667	 +1.298333	1820	          	 35912	 6.41	-0.18
082.318750	+25.150556	1821	118    Tau	 35943	 5.47	-0.04
082.419167	+29.186389	1822	          	 35984	 6.24	 0.45
081.902083	-21.375556	1823	          	 35991	 6.07	 1.04
082.702500	+41.461944	1824	          	 36040	 6.00	 1.11
082.687917	+39.825833	1825	          	 36041	 6.37	 0.97
082.236250	 -3.307500	1826	          	 36058	 6.39	-0.01
081.772083	-40.943611	1827	          	 36060	 5.87	 0.23
083.140833	+57.221111	1828	 18    Cam	 36066	 6.48	 0.57
082.061250	-20.759444	1829	  9Bet Lep	 36079	 2.84	 0.82
082.348333	 -3.446389	1830	          	 36134	 5.79	 1.15
082.680833	+22.462500	1831	          	 36160	 6.29	 1.18
082.608750	+15.360278	1832	          	 36162	 5.94	 0.14
082.478333	 +1.789167	1833	          	 36166	 5.78	-0.20
082.433333	 -1.092222	1834	 31    Ori	 36167	 4.71	 1.57
082.063750	-37.230556	1835	          	 36187	 5.57	 0.02
081.580417	-58.912500	1836	   Lam Dor	 36189	 5.14	 1.00
082.582500	 +4.204167	1837	          	 36217	 6.21	 1.27
082.277917	-30.116667	1838	          	 36255	 6.75	 1.06
082.696250	 +5.948056	1839	 32    Ori	 36267	 4.20	-0.14
082.586250	 -7.434722	1840	          	 36285	 6.33	-0.19
          	          	1841	 NOVA 1891	      	     	
082.810417	 +3.292222	1842	 33    Ori	 36351	 5.46	-0.18
083.182083	+32.191944	1843	 25Chi Aur	 36371	 4.76	 0.34
084.932083	+75.043889	1844	          	 36384	 6.17	 1.57
083.053333	+18.594444	1845	119    Tau	 36389	 4.38	 2.07
083.369583	+42.108889	1846	          	 36404	 6.55	-0.02
083.059167	+17.058056	1847	          	 36408	 5.46	-0.04
082.837083	 -6.708333	1848	          	 36430	 6.22	-0.17
082.781667	-20.863611	1849	 10    Lep	 36473	 5.55	 0.00
083.364583	+32.801111	1850	          	 36484	 6.48	 0.09
083.002083	 -0.284444	1851	 34Del Ori	 36485	 6.85	-0.16
083.001667	 -0.299167	1852	 34Del Ori	 36486	 2.23	-0.22
084.317500	+66.696111	1853	          	 36496	 6.26	
083.408333	+34.725833	1854	          	 36499	 6.27	 0.15
082.982500	 -7.301389	1855	 36Ups Ori	 36512	 4.62	-0.26
082.539583	-47.077778	1856	          	 36553	 5.46	 0.62
084.312917	+64.154722	1857	 19    Cam	 36570	 6.15	 0.01
083.381667	+18.540278	1858	120    Tau	 36576	 5.69	 0.01
081.750000	-68.622778	1859	          	 36584	 6.03	 0.34
083.411667	+20.474167	1860	          	 36589	 6.18	-0.07
083.172083	 -1.591944	1861	          	 36591	 5.35	-0.19
082.802917	-35.470556	1862	   Eps Col	 36597	 3.87	 1.14
083.280000	 -1.718333	1863	          	 36646	 6.46	-0.09
083.476250	+14.305556	1864	 35    Ori	 36653	 5.64	-0.14
083.182500	-17.822222	1865	 11Alp Lep	 36673	 2.58	 0.21
084.146667	+54.428889	1866	          	 36678	 5.73	 1.63
082.322500	-62.314444	1867	          	 36689	 6.59	 1.53
083.380833	 -1.156111	1868	          	 36695	 5.34	-0.18
084.066250	+47.715278	1869	          	 36719	 6.11	 0.26
082.900417	-45.925278	1870	          	 36734	 5.86	 1.35
083.490000	 +1.407778	1871	          	 36741	 6.59	-0.17
083.569583	 +3.766944	1872	 38    Ori	 36777	 5.36	 0.05
083.516250	 -1.035556	1873	          	 36779	 6.22	-0.17
083.516667	 -1.470556	1874	          	 36780	 5.93	 1.55
083.862917	+24.039444	1875	121    Tau	 36819	 5.38	-0.09
083.705000	 +9.489444	1876	 37Phi1Ori	 36822	 4.41	-0.16
083.213750	-38.513056	1877	          	 36848	 5.48	 1.22
083.981250	+27.662222	1878	          	 36859	 6.27	 1.54
083.784583	 +9.934167	1879	 39Lam Ori	 36861	 3.54	-0.18
083.785417	 +9.935000	1880	 39Lam Ori	 36862	 5.61	 0.04
083.280833	-35.139722	1881	          	 36874	 5.78	 1.07
082.566250	-63.927778	1882	          	 36876	 6.19	 0.22
083.805833	+10.240000	1883	          	 36881	 5.60	 0.12
084.218333	+40.182222	1884	          	 36891	 6.09	 1.03
090.334167	+85.182222	1885	          	 36905	 6.11	 1.57
083.753750	 -6.009167	1886	          	 36959	 5.67	-0.23
083.761250	 -6.001944	1887	          	 36960	 4.78	-0.25
083.467083	-29.848889	1888	          	 36965	 6.53	-0.02
084.125833	+25.939444	1889	          	 36994	 6.49	 0.43
083.840833	 -4.493333	1890	          	 37017	 6.56	-0.13
083.843750	 -4.425278	1891	          	 37016	 6.24	-0.15
083.846667	 -4.838333	1892	 42    Ori	 37018	 4.59	-0.19
083.816250	 -5.387222	1893	 41The1Ori	 37020	 6.73	 0.02
083.817083	 -5.385278	1894	 41The1Ori	 37021	 7.96	 0.24
083.818750	 -5.389722	1895	 41The1Ori	 37022	 5.13	 0.02
083.822083	 -5.387778	1896	 41The1Ori	 37023	 6.70	 0.09
083.845417	 -5.416111	1897	 43The2Ori	 37041	 5.08	-0.09
083.879583	 -4.364722	1898	          	 37040	 6.38	-0.14
083.858333	 -5.910000	1899	 44Iot Ori	 37043	 2.77	-0.24
083.899167	 -3.252778	1900	          	 37055	 6.40	-0.12
083.914583	 -4.855833	1901	 45    Ori	 37077	 5.26	 0.24
084.286667	+26.924167	1902	          	 37098	 5.83	-0.07
084.053333	 -1.201944	1903	 46Eps Ori	 37128	 1.70	-0.19
084.440417	+33.559167	1904	          	 37138	 6.33	 1.31
084.265833	+17.040278	1905	122    Tau	 37147	 5.54	 0.22
084.062500	 -5.648056	1906	          	 37150	 6.54	-0.18
084.226250	 +9.290556	1907	 40Phi2Ori	 37160	 4.09	 0.95
084.268333	+11.035000	1908	          	 37171	 5.94	 1.58
083.814167	-33.080000	1909	          	 37192	 5.78	 1.12
084.411250	+21.142500	1910	123Zet Tau	 37202	 3.00	-0.19
084.148750	 -6.065000	1911	          	 37209	 5.72	-0.22
083.435000	-54.902222	1912	          	 37226	 6.43	 0.55
084.330417	 +8.951944	1913	          	 37232	 6.12	-0.17
084.658750	+30.492500	1914	 26    Aur	 37269	 5.40	 0.45
084.042917	-28.707778	1915	          	 37286	 6.26	 0.13
085.610000	+65.697778	1916	          	 37289	 5.60	 1.24
083.248333	-64.227500	1917	          	 37297	 5.34	 1.04
084.364167	 -5.938333	1918	          	 37303	 6.05	-0.22
084.286667	-11.775556	1919	          	 37306	 6.11	 0.05
084.504583	 +7.541389	1920	          	 37320	 5.88	-0.07
084.739167	+26.617778	1921	          	 37329	 6.37	
083.406250	-62.489722	1922	   Bet Dor	 37350	 3.76	 0.82
084.472500	 -4.813611	1923	          	 37356	 6.19	-0.04
084.826667	+29.215278	1924	          	 37367	 5.96	 0.16
085.334583	+53.481111	1925	          	 37394	 6.23	 0.84
084.318750	-27.871389	1926	   Nu 1Col	 37430	 6.16	 0.34
084.011250	-47.313889	1927	          	 37434	 6.11	 1.16
084.934167	+25.896944	1928	125    Tau	 37438	 5.18	-0.15
084.862500	+21.762778	1929	          	 37439	 6.34	 0.06
083.760000	-58.871111	1930	          	 37462	 6.75	 1.45
084.686667	 -2.600000	1931	 48Sig Ori	 37468	 3.81	-0.24
084.696250	 -2.594167	1932	          	 37479	 6.65	-0.19
084.657500	 -6.573889	1933	          	 37481	 5.96	-0.23
084.796250	 +4.121389	1934	 47Ome Ori	 37490	 4.57	-0.11
084.435833	-28.689444	1935	   Nu 2Col	 37495	 5.31	 0.46
083.740000	-61.175833	1936	          	 37501	 6.32	 0.85
084.721250	 -7.213056	1937	 49    Ori	 37507	 4.80	 0.13
085.149583	+31.358056	1938	          	 37519	 6.04	 0.04
085.175417	+31.920833	1939	          	 37536	 6.11	 2.12
084.880000	 -3.564722	1940	          	 37594	 6.00	 0.27
085.756667	+56.581667	1941	 24    Cam	 37601	 6.05	 0.95
084.878333	 -9.706667	1942	          	 37635	 6.50	-0.10
086.035833	+61.476667	1943	 23    Cam	 37638	 6.15	 0.90
084.817917	-17.849444	1944	          	 37643	 6.38	-0.12
085.337500	+29.487500	1945	          	 37646	 6.43	-0.11
085.323750	+16.533889	1946	126    Tau	 37711	 4.86	-0.13
084.681667	-40.707500	1947	          	 37717	 5.82	-0.09
085.189583	 -1.942778	1948	 50Zet Ori	 37742	 2.05	-0.21
085.190000	 -1.942778	1949	 50Zet Ori	 37743	 4.21	
085.155417	 -2.825000	1950	          	 37744	 6.22	-0.20
085.477500	+23.326389	1951	          	 37752	 6.59	-0.06
085.210833	 -1.128889	1952	          	 37756	 4.95	-0.21
082.970417	-76.341111	1953	   Gam Men	 37763	 5.19	 1.13
085.516250	+22.660278	1954	          	 37784	 6.36	
085.273333	 +0.337778	1955	          	 37788	 5.93	 0.30
084.912083	-34.074167	1956	   Alp Col	 37795	 2.64	-0.12
085.191667	-10.409444	1957	          	 37808	 6.52	-0.16
084.957500	-32.629167	1958	          	 37811	 5.45	 0.92
085.417917	 -2.896111	1959	          	 37904	 6.42	 0.30
084.227917	-66.560278	1960	          	 37935	 6.31	-0.07
085.831250	+23.204167	1961	          	 37967	 6.21	-0.06
085.422917	-16.725556	1962	          	 37971	 6.21	-0.13
085.619167	 +1.474722	1963	 51    Ori	 37984	 4.91	 1.17
083.686250	-73.741389	1964	          	 37993	 5.78	 1.71
085.559583	-17.530278	1965	          	 38054	 6.15	 1.38
085.362500	-33.400556	1966	          	 38056	 6.34	-0.04
085.724167	 -6.796111	1967	          	 38089	 6.02	 0.40
085.557917	-22.373611	1968	 12    Lep	 38090	 5.87	 0.11
086.626667	+56.115556	1969	 26    Cam	 38091	 5.94	 0.17
085.788750	 -1.613056	1970	          	 38099	 6.31	 1.47
086.475000	+49.826389	1971	 27Omi Aur	 38104	 5.47	 0.03
085.548333	-30.535556	1972	          	 38138	 6.19	 0.01
085.562917	-34.667778	1973	          	 38170	 5.29	-0.05
086.456250	+40.507222	1974	          	 38189	 6.58	 0.25
085.840000	-18.557500	1975	          	 38206	 5.73	-0.01
087.270417	+62.808056	1976	          	 38284	 6.13	
086.414167	+20.695000	1977	          	 38307	 6.95	 3.03
086.257917	 +4.008056	1978	          	 38309	 6.09	 0.31
086.811250	+42.526667	1979	          	 38358	 6.29	 1.35
086.118333	-20.126389	1980	          	 38382	 6.34	 0.58
085.875833	-39.406944	1981	          	 38385	 6.25	 0.37
086.110417	-22.421667	1982	          	 38392	 6.15	 0.94
086.115833	-22.448333	1983	 13Gam Lep	 38393	 3.60	 0.47
085.921250	-45.833056	1984	          	 38458	 6.39	 0.29
086.689583	+15.822500	1985	129    Tau	 38478	 6.00	-0.06
086.511667	 -4.268333	1986	          	 38495	 6.34	 1.05
086.717083	 +9.522222	1987	          	 38527	 5.79	 0.88
086.645833	 +1.168056	1988	          	 38529	 5.95	 0.78
086.805000	+14.488333	1989	131    Tau	 38545	 5.72	 0.04
086.859167	+17.729167	1990	130    Tau	 38558	 5.49	 0.30
083.901250	-78.820833	1991	   Iot Men	 38602	 6.05	-0.02
087.641667	+56.918889	1992	 29    Cam	 38618	 6.54	
086.928750	+13.899722	1993	133    Tau	 38622	 5.29	-0.17
088.231250	+68.471389	1994	          	 38645	 6.20	 0.95
087.293750	+39.181111	1995	 29Tau Aur	 38656	 4.52	 0.94
086.499583	-32.306389	1996	   Mu  Col	 38666	 5.17	-0.28
087.093333	+20.869444	1997	          	 38670	 6.07	-0.08
086.738750	-14.821944	1998	 14Zet Lep	 38678	 3.55	 0.10
087.000833	 +6.454167	1999	 52    Ori	 38710	 5.27	 0.23
086.781667	-16.237778	2000	          	 38713	 6.17	 0.89
086.861250	-10.533056	2001	          	 38735	 6.03	 0.16
087.254167	+24.567500	2002	132    Tau	 38751	 4.86	 1.01
087.735000	+51.514722	2003	          	 38765	 6.29	 1.05
086.939167	 -9.669722	2004	 53Kap Ori	 38771	 2.06	-0.17
086.769583	-28.639167	2005	          	 38804	 6.22	-0.15
088.072500	+58.964167	2006	 30    Cam	 38831	 6.14	-0.04
087.145417	 -4.094722	2007	          	 38858	 5.97	 0.64
086.614167	-46.597222	2008	          	 38871	 5.31	 1.04
086.827500	-35.674722	2009	          	 38885	 6.32	 1.18
087.387083	+12.651111	2010	134    Tau	 38899	 4.91	-0.07
087.760000	+37.305556	2011	 31Ups Aur	 38944	 4.74	 1.62
087.872500	+39.148611	2012	 32Nu  Aur	 39003	 3.97	 1.13
087.742083	+27.967778	2013	          	 39004	 5.56	 0.97
087.510833	 +9.871111	2014	          	 39007	 5.80	 0.87
086.193333	-65.735556	2015	   Del Dor	 39014	 4.35	 0.21
087.620417	+14.305556	2016	135    Tau	 39019	 5.52	 1.01
086.992083	-40.652500	2017	          	 39040	 6.61	 1.12
087.857083	+32.125000	2018	          	 39045	 6.25	 1.75
087.554583	 +4.423333	2019	          	 39051	 5.97	 1.36
086.821250	-51.066389	2020	   Bet Pic	 39060	 3.85	 0.17
087.402083	-14.483611	2021	          	 39070	 5.49	 0.88
084.290833	-80.469167	2022	   Pi  Men	 39091	 5.65	 0.60
086.804167	-54.360833	2023	          	 39110	 6.18	 1.40
087.625000	 +2.024444	2024	          	 39118	 5.98	 0.91
088.164583	+39.574444	2025	          	 39182	 6.45	 0.09
087.472917	-22.971667	2026	          	 39190	 5.87	 0.06
088.740833	+59.888333	2027	 31    Cam	 39220	 5.20	 0.02
088.167083	+33.917500	2028	          	 39225	 5.98	 1.60
088.711667	+55.706944	2029	 30Xi  Aur	 39283	 4.99	 0.05
088.097500	+19.868056	2030	          	 39286	 6.06	 0.54
087.841667	 -7.518056	2031	 55    Ori	 39291	 5.35	-0.20
087.392083	-44.875278	2032	          	 39312	 6.38	 1.27
088.092917	+14.171667	2033	137    Tau	 39317	 5.59	-0.05
088.331667	+27.612222	2034	136    Tau	 39357	 4.58	-0.02
087.830417	-20.879167	2035	 15Del Lep	 39364	 3.81	 0.99
087.869167	-22.926111	2036	          	 39385	 6.17	 1.02
088.110000	 +1.855000	2037	 56    Ori	 39400	 4.78	 1.38
088.329583	+20.299167	2038	          	 39417	 6.71	-0.07
088.031667	 -9.041389	2039	          	 39421	 5.97	 0.10
087.740000	-35.768333	2040	   Bet Col	 39425	 3.12	 1.16
089.395833	+66.096111	2041	          	 39429	 6.25	 1.36
087.457083	-56.166667	2042	   Gam Pic	 39523	 4.51	 1.10
087.997917	-29.448611	2043	          	 39543	 6.45	 1.48
087.619167	-52.767778	2044	          	 39547	 6.35	 0.76
089.060000	+51.803889	2045	          	 39551	 6.49	
088.745833	+31.701667	2046	          	 39586	 5.90	 0.14
088.595417	+20.276111	2047	 54Chi1Ori	 39587	 4.41	 0.59
088.555833	+10.586944	2048	          	 39632	 6.12	 1.47
087.721667	-52.108889	2049	          	 39640	 5.17	 0.99
088.634167	+11.762500	2050	          	 39662	 6.59	 0.03
088.565417	 +3.225278	2051	          	 39685	 6.31	 1.29
088.736250	+19.749722	2052	 57    Ori	 39698	 5.92	-0.17
088.138333	-37.631111	2053	          	 39720	 5.63	 1.04
089.270417	+49.029444	2054	          	 39743	 6.47	 0.99
088.198750	-38.525833	2055	          	 39752	 6.70	 1.08
088.278750	-33.801389	2056	   Lam Col	 39764	 4.87	-0.15
088.683750	 +0.968333	2057	          	 39775	 6.00	 1.34
088.644583	 -4.063889	2058	          	 39777	 6.57	-0.18
082.557917	-84.785000	2059	          	 39780	 6.20	-0.02
088.489167	-19.638333	2060	          	 39789	 6.69	 0.10
088.792917	 +7.406944	2061	 58Alp Ori	 39801	 0.50	 1.85
086.950417	-72.702222	2062	   Lam Men	 39810	 6.53	 1.08
088.955417	+20.175000	2063	          	 39816	 5.40	 0.99
087.473333	-66.901111	2064	   Eps Dor	 39844	 5.11	-0.14
088.681667	-11.773889	2065	          	 39853	 5.66	 1.53
089.140833	+28.942222	2066	          	 39866	 6.32	 0.30
089.014583	+13.925278	2067	          	 39881	 6.60	 0.65
088.558750	-29.147778	2068	          	 39891	 6.36	 0.37
088.345417	-42.921389	2069	          	 39901	 6.55	 1.37
088.876250	 -4.616389	2070	          	 39910	 5.87	 1.18
088.897500	 -4.788333	2071	          	 39927	 6.28	 0.06
088.084583	-57.156111	2072	          	 39937	 5.94	 0.66
087.845833	-64.033611	2073	          	 39963	 6.36	 0.86
089.233750	+24.249722	2074	          	 39970	 6.02	 0.39
089.116667	 +9.509722	2075	          	 39985	 5.99	-0.07
089.206250	+11.521111	2076	          	 40020	 5.87	 1.10
089.881667	+54.284722	2077	 33Del Aur	 40035	 3.72	 1.00
091.288750	+75.585833	2078	          	 40055	 6.40	
089.940417	+55.320833	2079	          	 40062	 6.44	 0.31
089.950417	+54.547222	2080	          	 40083	 6.14	 1.20
089.840833	+49.924444	2081	          	 40084	 5.89	 1.23
088.718750	-39.958056	2082	          	 40091	 5.57	 1.51
088.544583	-50.361944	2083	          	 40105	 6.52	 0.90
089.498750	+25.953889	2084	139    Tau	 40111	 4.82	-0.06
089.101250	-14.167778	2085	 16Eta Lep	 40136	 3.71	 0.33
089.059583	-22.840278	2086	          	 40151	 5.96	 1.11
088.874583	-37.120833	2087	   Xi  Col	 40176	 4.97	 1.11
089.882083	+44.947500	2088	 34Bet Aur	 40183	 1.90	 0.03
088.671250	-49.626944	2089	          	 40200	 6.10	-0.13
089.143750	-23.215556	2090	          	 40235	 6.36	 1.07
089.983750	+45.936944	2091	 35Pi  Aur	 40239	 4.26	 1.72
089.087083	-31.382500	2092	   Sig Col	 40248	 5.50	
089.475833	 +1.224444	2093	          	 40282	 6.22	 1.48
088.709167	-52.635278	2094	          	 40292	 5.29	 0.31
089.930417	+37.212500	2095	 37The Aur	 40312	 2.62	-0.08
090.079167	+44.591944	2096	          	 40325	 6.22	
089.548750	 -0.994167	2097	          	 40347	 6.22	 1.14
089.204167	-31.976111	2098	          	 40359	 6.44	 1.07
089.721667	+12.808611	2099	          	 40369	 5.70	 0.89
089.601667	 +1.836944	2100	 59    Ori	 40372	 5.90	 0.21
090.244167	+47.901944	2101	 36    Aur	 40394	 5.73	-0.01
088.525417	-63.090000	2102	          	 40409	 4.65	 1.05
089.706667	 +0.553056	2103	 60    Ori	 40446	 5.22	 0.01
088.549583	-64.482222	2104	          	 40455	 6.63	 0.38
090.429583	+48.959444	2105	          	 40486	 5.96	 1.45
089.384167	-35.283333	2106	   Gam Col	 40494	 4.36	-0.18
089.754167	 -9.382222	2107	  1    Mon	 40535	 6.12	 0.29
089.767917	 -9.558333	2108	  2    Mon	 40536	 5.03	 0.19
089.907083	 -1.444444	2109	          	 40574	 6.63	-0.07
090.292500	+31.034722	2110	          	 40588	 5.98	 0.08
090.251667	+27.572222	2111	          	 40589	 6.05	 0.25
090.702917	+49.905556	2112	          	 40626	 6.05	-0.06
090.014167	 -3.074167	2113	          	 40657	 4.53	 1.22
089.310000	-53.426111	2114	          	 40665	 6.45	 1.48
090.723333	+43.378611	2115	          	 40722	 6.42	
090.423333	+22.400833	2116	          	 40724	 6.37	-0.07
089.656667	-44.034444	2117	          	 40733	 5.81	 1.07
090.073750	-12.899722	2118	          	 40745	 6.22	 0.36
090.825000	+42.911667	2119	 38    Aur	 40801	 6.10	 0.97
089.786667	-42.815278	2120	   Eta Col	 40808	 3.96	 1.14
091.284583	+59.393056	2121	          	 40827	 6.34	 1.10
090.729583	+32.635833	2122	          	 40832	 6.24	 0.42
091.121250	+51.573333	2123	          	 40873	 6.45	 0.18
090.595833	 +9.647500	2124	 61Mu  Ori	 40932	 4.12	 0.16
087.569583	-79.361389	2125	   Kap Men	 40953	 5.47	-0.08
091.663333	+63.453611	2126	          	 40956	 6.39	
090.571250	 +1.694444	2127	          	 40964	 6.59	-0.05
090.460000	-10.598056	2128	  3    Mon	 40967	 4.95	-0.12
090.304583	-25.417778	2129	          	 40972	 6.05	 0.02
090.863750	+19.690556	2130	 64    Ori	 41040	 5.14	-0.11
090.318333	-33.911667	2131	          	 41047	 5.55	 1.58
091.264167	+42.981667	2132	 39    Aur	 41074	 5.87	 0.30
090.852917	+11.680833	2133	          	 41076	 6.08	-0.04
091.030000	+23.263333	2134	  1    Gem	 41116	 4.16	 0.82
090.980000	+20.138333	2135	 62Chi2Ori	 41117	 4.63	 0.28
090.640833	-14.497222	2136	          	 41125	 6.20	 0.96
091.260833	+37.964167	2137	          	 41162	 6.34	
090.205000	-51.216389	2138	          	 41214	 5.67	 0.20
091.391667	+33.599167	2139	          	 41269	 6.23	-0.08
090.814583	-26.284444	2140	          	 41312	 5.04	 1.34
091.535417	+35.387500	2141	          	 41330	 6.12	 0.60
091.056250	 -6.709167	2142	          	 41335	 5.21	-0.06
091.646250	+38.482778	2143	 40    Aur	 41357	 5.36	 0.25
091.242500	 +5.420000	2144	 63    Ori	 41361	 5.67	 1.04
091.243333	 +4.158611	2145	 66    Ori	 41380	 5.63	 1.04
091.593750	+29.512500	2146	          	 41429	 6.08	 1.73
091.862083	+41.854167	2147	          	 41467	 6.12	 1.22
091.246250	-16.484444	2148	 17    Lep	 41511	 4.93	 0.24
091.084583	-32.172500	2149	          	 41534	 5.65	-0.19
091.362500	-10.242778	2150	          	 41547	 5.87	 0.37
090.538333	-60.096944	2151	          	 41586	 6.45	 1.58
092.496250	+58.935833	2152	 37    Cam	 41597	 5.36	 1.09
092.095833	+41.055556	2153	          	 41636	 6.36	 1.05
091.661250	 -4.193889	2154	          	 41692	 5.38	-0.13
091.538750	-14.935278	2155	 18The Lep	 41695	 4.67	 0.05
091.440417	-24.195556	2156	          	 41698	 6.95	 1.63
091.118333	-45.036667	2157	          	 41700	 6.35	 0.52
091.167500	-45.078889	2158	          	 41742	 5.93	 0.49
091.892917	+14.768333	2159	 67Nu  Ori	 41753	 4.42	-0.17
091.362917	-35.513611	2160	          	 41759	 5.80	 0.02
091.716250	-11.173611	2161	          	 41814	 6.66	-0.15
091.195417	-48.458611	2162	          	 41824	 6.58	 0.72
091.633333	-23.110556	2163	          	 41841	 5.47	 0.08
091.522917	-29.758611	2164	          	 41843	 5.81	 0.05
093.212917	+65.718333	2165	 36    Cam	 41927	 5.32	 1.34
091.740000	-21.812778	2166	          	 41933	 5.78	 1.64
092.196667	 +8.670000	2167	          	 42035	 6.55	-0.07
091.923333	-19.165833	2168	 19    Lep	 42042	 5.31	 1.68
092.385000	+22.190000	2169	          	 42049	 5.93	 1.63
091.765417	-34.311944	2170	          	 42054	 5.83	-0.13
091.670833	-42.298611	2171	   Pi 1Col	 42078	 6.12	 0.25
092.941667	+52.647222	2172	          	 42083	 6.30	 0.14
092.433333	+23.113333	2173	  3    Gem	 42087	 5.75	 0.21
092.241250	 +2.499444	2174	          	 42111	 5.73	 0.07
092.902083	+48.713056	2175	 41    Aur	 42126	 6.82	
092.902500	+48.711111	2176	 41    Aur	 42127	 6.09	 0.10
091.881667	-37.253056	2177	   The Col	 42167	 5.02	-0.11
091.757917	-45.091389	2178	          	 42168	 6.51	 1.16
092.400833	 -5.711111	2179	          	 42278	 6.17	 0.34
092.241250	-22.427500	2180	          	 42301	 5.50	-0.01
091.970417	-42.153889	2181	   Pi 2Col	 42303	 5.50	 0.00
092.334583	-18.126111	2182	          	 42327	 6.35	-0.03
092.392917	-14.584167	2183	          	 42341	 5.56	 1.16
092.757500	+18.129444	2184	          	 42351	 6.33	 1.35
092.884583	+24.420278	2185	  5    Gem	 42398	 5.80	 1.11
092.449583	-22.774167	2186	          	 42443	 5.71	 0.44
092.144167	-44.356111	2187	          	 42448	 6.27	-0.15
093.438750	+51.172500	2188	          	 42466	 6.04	 1.06
093.083750	+32.693333	2189	          	 42471	 5.78	 1.66
092.964167	+21.868611	2190	          	 42475	 6.56	 2.25
092.866250	+13.638611	2191	          	 42477	 6.04	 0.00
092.446667	-26.700833	2192	          	 42486	 6.27	 1.01
093.005417	+19.790556	2193	 68    Ori	 42509	 5.75	-0.07
091.539167	-66.039722	2194	   Eta1Dor	 42525	 5.71	-0.03
092.755417	 -6.754167	2195	          	 42536	 6.15	 0.01
